timestamp,latitude,longitude,depth,temperature,salinity,chlorophyll,source
2026-06-01 17:48:52,13.0,80.3,7.9,29.76,32.78,4.19,Copernicus_Demo
2026-06-02 17:48:52,13.0,80.3,7.9,29.55,33.11,4.1,Copernicus_Demo
2026-06-03 17:48:52,13.0,80.3,7.4,30.0,32.79,3.79,Copernicus_Demo
2026-06-04 17:48:52,13.0,80.3,9.3,29.95,32.68,2.54,Copernicus_Demo
2026-06-05 17:48:52,13.0,80.3,8.1,29.79,32.57,3.39,Copernicus_Demo
2026-06-06 17:48:52,13.0,80.3,9.7,29.86,33.06,4.49,Copernicus_Demo
2026-06-07 17:48:52,13.0,80.3,5.1,29.46,32.38,4.04,Copernicus_Demo
2026-06-08 17:48:52,13.0,80.3,6.4,30.11,32.86,4.06,Copernicus_Demo
2026-06-09 17:48:52,13.0,80.3,5.7,29.8,33.06,3.8,Copernicus_Demo
2026-06-10 17:48:52,13.0,80.3,6.9,29.86,33.23,2.59,Copernicus_Demo
2026-06-11 17:48:52,13.0,80.3,7.4,29.67,33.05,3.82,Copernicus_Demo
2026-06-12 17:48:52,13.0,80.3,8.2,29.74,32.37,2.9,Copernicus_Demo
2026-06-13 17:48:52,13.0,80.3,6.1,29.88,32.7,2.62,Copernicus_Demo
2026-06-14 17:48:52,13.0,80.3,5.2,29.47,32.49,4.47,Copernicus_Demo
2026-06-15 17:48:52,13.0,80.3,6.9,30.03,32.99,2.87,Copernicus_Demo
2026-06-16 17:48:52,13.0,80.3,6.4,29.91,32.86,2.57,Copernicus_Demo
2026-06-17 17:48:52,13.0,80.3,7.0,29.45,33.25,2.5,Copernicus_Demo
2026-06-18 17:48:52,13.0,80.3,8.6,29.53,33.28,4.31,Copernicus_Demo
2026-06-19 17:48:52,13.0,80.3,7.8,29.67,32.78,4.23,Copernicus_Demo
2026-06-20 17:48:52,13.0,80.3,7.2,29.69,33.04,4.02,Copernicus_Demo
2026-06-21 17:48:52,13.0,80.3,5.7,29.82,32.98,3.04,Copernicus_Demo
2026-06-22 17:48:52,13.0,80.3,7.1,29.84,32.58,3.53,Copernicus_Demo
2026-06-23 17:48:52,13.0,80.3,7.2,29.54,33.01,2.57,Copernicus_Demo
2026-06-24 17:48:52,13.0,80.3,9.6,29.43,33.07,3.21,Copernicus_Demo
2026-06-25 17:48:52,13.0,80.3,8.2,29.47,33.15,3.69,Copernicus_Demo
2026-06-26 17:48:52,13.0,80.3,6.0,29.98,32.67,2.88,Copernicus_Demo
2026-06-27 17:48:52,13.0,80.3,5.8,29.5,32.37,3.38,Copernicus_Demo
